source_path,target_path,recommended_action,reason,status
internal_docs/01-strategic-planning/sessions/02_16_2026_phase5_operationalization/MASTER-PLAN-v3.1.md,internal_docs/01-strategic-planning/phases/PHASE-5/resources/MASTER-PLAN-v3.1.md,move,Primary project master plan -> canonical PHASE-5 resources,proposed
internal_docs/01-strategic-planning/sessions/02_16_2026_phase5_operationalization/EXPANDED-PLAN.md,internal_docs/01-strategic-planning/phases/PHASE-5/resources/EXPANDED-PLAN.md,move,Detailed task breakdown for Phase-5 -> resources,proposed
internal_docs/01-strategic-planning/sessions/02_16_2026_phase5_operationalization/MASTER-INDEX-PHASE-5-FINAL.md,internal_docs/01-strategic-planning/PHASE-EXECUTION-INDEXES/MASTER-INDEX-PHASE-5-FINAL.md,move,Canonical index belongs in PHASE-EXECUTION-INDEXES,proposed
internal_docs/01-strategic-planning/sessions/02_16_2026_phase5_operationalization/COMPLETE-DOCUMENTATION-INDEX.md,internal_docs/01-strategic-planning/phases/PHASE-5/resources/COMPLETE-DOCUMENTATION-INDEX.md,move,Documentation index -> Phase resources,proposed
internal_docs/01-strategic-planning/sessions/02_16_2026_phase5_operationalization/00-15-PHASE-COMPLETE-INVENTORY.md,internal_docs/01-strategic-planning/phases/PHASE-5/resources/00-15-PHASE-COMPLETE-INVENTORY.md,move,Inventory belongs with Phase planning resources,proposed
internal_docs/01-strategic-planning/sessions/02_16_2026_phase5_operationalization/PHASE-5-EXECUTION-READINESS-FINAL.md,internal_docs/01-strategic-planning/phases/PHASE-5/progress/PHASE-5-EXECUTION-READINESS-FINAL.md,move,Execution readiness -> phase progress,proposed
internal_docs/01-strategic-planning/sessions/02_16_2026_phase5_operationalization/PHASE-5-EXECUTION-AUTHORIZATION-CHECKLIST.md,internal_docs/01-strategic-planning/phases/PHASE-5/progress/PHASE-5-EXECUTION-AUTHORIZATION-CHECKLIST.md,move,Authorization checklist -> phase progress,proposed
internal_docs/01-strategic-planning/sessions/02_16_2026_phase5_operationalization/QUICK-REFERENCE-EXECUTION-CARD.md,internal_docs/01-strategic-planning/phases/PHASE-5/resources/QUICK-REFERENCE-EXECUTION-CARD.md,move,Quick reference -> phase resources,proposed
internal_docs/01-strategic-planning/sessions/02_16_2026_phase5_operationalization/QUICK-START.md,internal_docs/01-strategic-planning/phases/PHASE-5/resources/QUICK-START.md,move,Quick-start belongs in resources,proposed
internal_docs/01-strategic-planning/sessions/02_16_2026_phase5_operationalization/EXECUTION-SUMMARY.md,internal_docs/01-strategic-planning/phases/PHASE-5/progress/EXECUTION-SUMMARY.md,move,Execution summary -> progress,proposed
internal_docs/01-strategic-planning/sessions/02_16_2026_phase5_operationalization/CLAUDE-FINAL-INTEGRATION-APPROVED.md,internal_docs/01-strategic-planning/phases/PHASE-5/resources/CLAUDE-FINAL-INTEGRATION-APPROVED.md,move,Research integration docs -> resources,proposed
internal_docs/01-strategic-planning/sessions/02_16_2026_phase5_operationalization/RESEARCH-REQUIREMENTS-FOR-CLAUDE.md,internal_docs/01-strategic-planning/phases/PHASE-5/resources/RESEARCH-REQUIREMENTS-FOR-CLAUDE.md,move,Research queue -> resources,proposed
internal_docs/01-strategic-planning/sessions/02_16_2026_phase5_operationalization/CLAUDE-HANDOFF-AND-SUBMISSION-GUIDE.md,internal_docs/01-strategic-planning/phases/PHASE-5/resources/CLAUDE-HANDOFF-AND-SUBMISSION-GUIDE.md,move,Workflow guide -> resources,proposed
internal_docs/01-strategic-planning/sessions/02_16_2026_phase5_operationalization/PHASE-5-PROJECT-READINESS-COMPLETE.md,internal_docs/01-strategic-planning/phases/PHASE-5/progress/PHASE-5-PROJECT-READINESS-COMPLETE.md,move,Readiness report -> progress,proposed
internal_docs/01-strategic-planning/sessions/02_16_2026_phase5_operationalization/PHASE-5-SESSION-COMPLETION-REPORT.md,internal_docs/01-strategic-planning/phases/PHASE-5/progress/PHASE-5-SESSION-COMPLETION-REPORT.md,move,Session completion -> progress,proposed
internal_docs/01-strategic-planning/sessions/02_16_2026_phase5_operationalization/PHASE-5-STRATEGIC-PLANNING-COMPLETE.md,internal_docs/01-strategic-planning/phases/PHASE-5/progress/PHASE-5-STRATEGIC-PLANNING-COMPLETE.md,move,Strategic planning summary -> progress,proposed
internal_docs/01-strategic-planning/sessions/02_16_2026_phase5_operationalization/PHASE-5-OPERATIONALIZATION-STATUS.md,internal_docs/01-strategic-planning/phases/PHASE-5/progress/PHASE-5-OPERATIONALIZATION-STATUS.md,move,Operationalization status -> progress,proposed
